step,loss,kept_per_step,pass_rate_of_8,elapsed_min
1,1.7344,16.0,2.25,4.8
10,0.0021,15.0,2.139,33.8
20,0.0015,15.4,2.45,64.5
30,0.0,15.2,2.462,96.3
40,0.0012,15.2,2.163,125.8
50,0.0028,15.1,2.163,155.6
60,-0.0,15.3,2.538,186.4
70,-0.0003,14.8,2.45,218.1
80,-0.0023,15.0,2.325,248.0
90,0.0096,15.1,2.562,277.8
100,0.0,15.2,2.25,307.7
110,-0.0004,15.1,2.487,340.4
120,0.0025,15.0,2.425,372.0
130,0.0104,14.4,2.612,404.4
140,0.0003,14.8,2.413,433.8
150,-0.001,15.4,2.288,464.4
160,-0.0007,15.3,2.125,494.1
170,0.0,14.9,2.237,524.9
180,-0.1357,15.2,2.513,556.2
190,0.0046,14.8,2.487,588.7
200,0.0024,14.8,2.487,618.3
