iter,sqa,math,len_sqa,len_math,surv,buf,pg,kl,gn,ret
1,0.566,0.567,,,57,356,0.0301,0.0282,6.66,5
2,0.592,0.663,,,56,352,0.0506,0.0657,13.0,11
3,0.717,0.668,,,49,296,0.0674,0.2409,5.81,26
4,0.553,0.635,,,52,328,0.0381,0.273,11.88,33
5,0.674,0.817,,,45,292,0.0477,0.2976,11.31,51
6,0.641,0.731,,,47,304,0.0461,0.4196,18.62,65
7,0.605,0.798,,,41,272,0.0366,0.9112,134.0,86
8,0.536,0.875,,,41,276,0.0715,0.2089,4.41,104
9,0.612,0.76,,,48,312,0.0555,42.0191,5.94,119
10,0.539,0.803,,,42,268,0.0541,0.3278,8.44,136
11,0.566,0.885,,,40,280,0.0316,0.1872,9.56,159
12,0.599,0.822,,,44,300,0.0606,0.2651,2.03,176
13,0.658,0.822,,,38,252,0.0313,0.2081,7.28,200
14,0.651,0.779,,,35,216,0.0401,0.4016,4.34,224
15,0.559,0.812,,,41,264,0.0758,0.1648,2.0,244
16,0.562,0.74,,,39,252,0.0335,0.172,2.89,262
17,0.5,0.817,,,42,288,0.0377,0.1544,4.69,280
18,0.651,0.779,,,45,300,0.0296,0.1547,11.56,298
19,0.497,0.774,,,42,284,0.0279,17.7492,4.19,315
20,0.615,0.875,,,37,256,0.0419,0.1395,1.96,340
21,0.579,0.798,,,45,296,0.0426,0.1477,8.12,356
22,0.645,0.779,,,48,316,0.0339,0.245,11.44,371
23,0.599,0.846,,,42,284,0.0467,0.4123,5.91,391
24,0.701,0.851,,,43,296,0.0268,52.1158,2.89,412
25,0.678,0.793,,,37,244,0.0169,0.1732,4.03,436
26,0.668,0.755,,,34,220,-0.0015,0.3717,9.88,463
27,0.592,0.774,,,44,280,0.0661,0.1768,2.08,479
28,0.701,0.851,,,35,240,0.0178,0.3121,20.38,507
29,0.599,0.832,,,41,276,0.0282,0.1081,4.81,528
30,0.618,0.764,,,45,296,0.0203,0.1357,0.48,546
31,0.625,0.755,,,42,272,0.029,0.1337,5.97,567
32,0.635,0.774,,,44,296,0.0258,0.1521,10.38,585
33,0.645,0.745,,,41,268,0.0366,138.8216,6.34,606
34,0.579,0.712,,,43,284,0.0224,0.1288,2.75,625
35,0.658,0.803,,,47,308,0.0444,0.1411,4.06,641
36,0.595,0.745,,,46,304,0.1573,0.2669,2.47,657
37,0.684,0.62,,,44,288,0.034,0.1298,1.87,672
38,0.671,0.673,,,44,276,0.0247,0.1664,17.62,690
39,0.648,0.745,,,42,268,0.0518,0.3537,4.44,708
40,0.592,0.688,,,44,288,0.0258,0.1324,4.41,725
41,0.595,0.812,,,46,304,0.0571,0.1411,2.22,741
42,0.697,0.726,,,43,276,0.0268,0.1548,2.39,760
43,0.605,0.808,,,44,284,0.0716,4.4231,6.97,778
44,0.697,0.716,,,41,252,0.0454,0.1442,5.12,799
45,0.632,0.784,,,40,260,0.0212,0.145,1.36,822
46,0.628,0.668,,,43,272,0.0292,0.1545,8.19,840
47,0.727,0.692,,,41,264,-0.0142,0.1565,7.53,862
48,0.641,0.779,,,43,264,0.0775,0.1804,6.34,881
49,0.645,0.76,,,42,276,0.0224,26.7039,3.16,902
50,0.694,0.769,,,41,272,0.0092,0.1598,8.81,924
51,0.704,0.702,,,45,292,0.0232,0.1716,11.38,943
52,0.599,0.76,,,51,332,0.0501,0.1638,2.73,954
53,0.737,0.75,,,46,292,0.0698,0.1562,2.69,970
54,0.717,0.678,,,39,252,0.0561,3798.6145,1.96,990
55,0.773,0.668,,,42,252,0.0457,0.1662,10.94,1009
56,0.691,0.721,,,33,192,0.0429,0.1413,4.91,1037
57,0.724,0.688,,,38,244,-0.0022,0.1504,6.31,1060
58,0.743,0.716,,,41,260,0.0514,0.1471,2.77,1081
59,0.635,0.885,,,42,280,0.0584,0.207,8.69,1101
60,0.757,0.784,,,33,192,0.0584,0.1348,3.97,1130
61,0.678,0.817,,,41,260,0.0632,0.1476,0.39,1152
62,0.776,0.726,,,36,224,0.0585,0.1484,5.06,1180
63,0.688,0.731,,,40,252,0.065,0.2023,1.7,1201
64,0.763,0.832,,,39,244,0.0712,0.1801,1.98,1226
65,0.73,0.668,,,36,216,0.0524,0.1695,2.8,1251
66,0.717,0.644,,,45,288,0.002,0.3419,6.0,1269
67,0.674,0.683,,,39,236,0.0696,0.2437,2.36,1293
68,0.655,0.702,,,35,212,0.0672,0.2049,1.76,1319
69,0.727,0.784,,,34,220,0.0426,0.2223,8.88,1347
70,0.704,0.683,,,38,232,0.0624,0.1662,3.8,1370
71,0.812,0.639,,,36,216,-0.003,0.1672,7.06,1398
72,0.826,0.803,,,34,204,0.0747,0.1694,3.55,1428
73,0.77,0.736,,,39,236,0.0564,0.1456,2.19,1453
74,0.737,0.798,,,28,156,0.0907,0.1518,2.67,1487
75,0.592,0.615,,,42,256,0.04,0.1455,1.29,1503
76,0.73,0.812,,,38,236,0.0813,0.1292,2.41,1528
77,0.809,0.673,,,38,236,0.0268,0.1289,5.62,1552
78,0.743,0.692,,,38,228,0.0184,0.1721,1.41,1574
79,0.786,0.688,,,36,212,0.0244,0.1253,3.33,1600
80,0.803,0.774,,,31,188,0.0697,0.1279,0.48,1633
81,0.793,0.668,,,34,188,0.0383,0.1347,1.72,1663
82,0.812,0.683,,,34,204,0.0106,0.1417,2.09,1692
83,0.73,0.808,,,39,240,0.076,0.1244,1.0,1716
84,0.806,0.702,,,37,220,0.0464,0.2098,2.78,1741
85,0.845,0.712,,,30,172,0.0713,0.1322,6.59,1774
